FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.55,666.96,279.69,1543.32,583.77,1640.85,612.45,0,2048,1026,66.62,33.38,-2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,192.2,0,417.39,0,1490.25,899.31,0,2048,1026,66.62,33.38,33.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125.65,3706.27,3221.47,1061.39,0,0,0,0,2047,1026,66.61,33.39,-14.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.99,810.39,649.74,1580.61,532.13,2055.37,847.68,0,2047,1033,66.46,33.54,-24.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,436.03,0,509.18,424.56,0,2047,1033,66.46,33.54,7.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.25,3739.26,3505.46,1346.82,0,0,0,0,2043,1033,66.42,33.58,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,249.57,0,2679.3,1940.63,0,2043,1035,66.37,33.63,-3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,428.86,0,1666.67,767.36,0,2043,1035,66.37,33.63,-9.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271.95,4411.95,3013.49,2773.96,0,0,0,0,2047,1035,66.42,33.58,7.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,377.22,0,2898.75,2098.4,0,2047,1034,66.44,33.56,78.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437.47,1282.28,773.1,2191.63,831.9,2244.7,1184.74,0,1021,1034,49.68,50.32,-31.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490.25,3773.68,2564.55,2867.19,0,0,0,0,1021,1034,49.68,50.32,20.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,506.31,0,1137.41,684.17,137.97,1021,2050,33.25,66.75,-58.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431.73,1047.05,372.92,2316.42,1300.92,3812.41,3178.44,0,1043,2050,33.72,66.28,-40.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295.19,3489.69,2653.48,2693.64,0,0,0,0,1043,2050,33.72,66.28,21.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,375.79,0,1572.01,857.72,0,1043,2063,33.58,66.42,7.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.02,820.43,0,2468.45,1184.74,3951.53,2686.47,0,1038,1030,50.19,49.81,2.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358.3,3800.93,2669.26,2857.15,0,0,0,0,1029,1030,49.98,50.02,29.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,387.26,0,956.69,371.49,0,1029,1035,49.85,50.15,39.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913.37,4300.07,3406.5,2442.64,0,0,0,0,1033,1035,49.95,50.05,-60.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.29,753.01,301.21,1775.68,765.92,3098.12,1623.64,0,1033,1032,50.02,49.98,22.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,537.87,0,1732.65,876.37,148.01,1033,1032,50.02,49.98,-24.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
